Alternative,Company Name,Mean Rank Score,Rank (Mean Rank),Borda Count Score,Rank (Borda),Copeland Score,Rank (Copeland)
NVDA,NVIDIA Corporation,1.0,1,948.0,1,948.0,1
MSFT,Microsoft Corporation,2.3333333333333335,2,940.0,2,932.0,2
GOOG,Alphabet Inc.,2.8333333333333335,3,937.0,3,926.0,3
AMZN,"Amazon.com, Inc.",3.8333333333333335,4,931.0,4,914.0,4
RTX,RTX Corporation,10.5,5,891.0,5,834.0,5
ORCL,Oracle Corporation,15.166666666666666,6,863.0,6,778.0,6
V,Visa Inc.,15.666666666666666,7,860.0,7,772.0,7
CMCSA,Comcast Corporation,20.666666666666668,8,830.0,8,712.0,8
T,AT&T Inc.,21.333333333333332,9,826.0,9,704.0,9
BSX,Boston Scientific Corporation,25.166666666666668,10,803.0,10,658.0,10
APH,Amphenol Corporation,26.0,11,798.0,11,648.0,11
TSLA,"Tesla, Inc.",26.333333333333332,12,796.0,12,644.0,12
META,"Meta Platforms, Inc.",26.666666666666668,13,794.0,13,640.0,13
NDAQ,"Nasdaq, Inc.",27.0,14,792.0,15,636.0,15
PM,Philip Morris International Inc,27.0,15,792.0,14,636.0,14
ANET,"Arista Networks, Inc.",27.166666666666668,16,791.0,17,634.0,17
WELL,Welltower Inc.,27.166666666666668,17,791.0,16,634.0,16
ABBV,AbbVie Inc.,29.0,18,780.0,18,612.0,18
MRK,"Merck & Company, Inc.",31.166666666666668,19,767.0,19,586.0,19
PGR,Progressive Corporation (The),32.833333333333336,20,757.0,20,566.0,20
O,Realty Income Corporation,33.333333333333336,21,754.0,21,560.0,21
DIS,Walt Disney Company (The),33.666666666666664,22,752.0,22,556.0,22
CCL,Carnival Corporation,34.5,23,747.0,23,546.0,23
CVX,Chevron Corporation,35.833333333333336,24,739.0,24,530.0,24
UBER,"Uber Technologies, Inc.",38.333333333333336,25,724.0,25,500.0,25
ICE,Intercontinental Exchange Inc.,40.5,26,711.0,26,474.0,26
FCX,"Freeport-McMoRan, Inc.",41.5,27,705.0,27,462.0,27
ABT,Abbott Laboratories,43.333333333333336,28,694.0,28,440.0,28
FTNT,"Fortinet, Inc.",46.833333333333336,29,673.0,29,398.0,29
TJX,"TJX Companies, Inc. (The)",47.666666666666664,30,668.0,30,388.0,30
CSCO,"Cisco Systems, Inc.",49.5,31,657.0,31,366.0,31
SO,Southern Company (The),50.0,32,654.0,32,360.0,32
EQT,EQT Corporation,50.166666666666664,33,653.0,33,358.0,33
PEP,"Pepsico, Inc.",51.0,34,648.0,34,348.0,34
CLX,Clorox Company (The),52.666666666666664,35,638.0,35,328.0,35
LRCX,Lam Research Corporation,53.166666666666664,36,635.0,36,322.0,36
FOXA,Fox Corporation,53.333333333333336,37,634.0,37,320.0,37
FOX,Fox Corporation,53.666666666666664,38,632.0,38,316.0,38
CRM,"Salesforce, Inc.",53.666666666666664,39,632.0,39,316.0,39
MO,"Altria Group, Inc.",54.0,40,630.0,40,312.0,40
HPE,Hewlett Packard Enterprise Comp,55.333333333333336,41,622.0,41,296.0,41
CME,CME Group Inc.,55.666666666666664,42,620.0,42,292.0,42
MCD,McDonald's Corporation,56.166666666666664,43,617.0,43,286.0,43
INCY,Incyte Corporation,58.5,44,603.0,44,258.0,44
WMB,"Williams Companies, Inc. (The)",59.166666666666664,45,599.0,45,250.0,45
EIX,Edison International,59.333333333333336,46,598.0,47,248.0,47
NFLX,"Netflix, Inc.",59.333333333333336,47,598.0,46,248.0,46
ALL,Allstate Corporation (The),59.5,48,597.0,48,246.0,48
UAL,"United Airlines Holdings, Inc.",59.666666666666664,49,596.0,49,244.0,49
FDX,FedEx Corporation,61.833333333333336,50,583.0,50,218.0,50
IRM,Iron Mountain Incorporated (Del,62.666666666666664,51,578.0,51,208.0,51
KIM,Kimco Realty Corporation (HC),62.833333333333336,52,577.0,52,206.0,52
HIG,Hartford Financial Services Gro,62.833333333333336,53,577.0,53,206.0,53
ISRG,"Intuitive Surgical, Inc.",63.333333333333336,54,574.0,54,200.0,54
BRO,"Brown & Brown, Inc.",63.833333333333336,55,571.0,56,194.0,56
GLW,Corning Incorporated,63.833333333333336,56,571.0,55,194.0,55
PEG,Public Service Enterprise Group,64.16666666666667,57,569.0,57,190.0,57
UPS,"United Parcel Service, Inc.",65.66666666666667,58,560.0,58,172.0,58
MSI,"Motorola Solutions, Inc.",67.33333333333333,59,550.0,59,152.0,59
AJG,Arthur J. Gallagher & Co.,67.83333333333333,60,547.0,60,146.0,60
ANSS,"ANSYS, Inc.",69.0,61,540.0,61,132.0,61
AXON,"Axon Enterprise, Inc.",70.83333333333333,62,529.0,62,110.0,62
DELL,Dell Technologies Inc.,71.0,63,528.0,63,108.0,63
GDDY,GoDaddy Inc.,71.33333333333333,64,526.0,64,104.0,64
TT,Trane Technologies plc,71.66666666666667,65,524.0,65,100.0,65
HCA,"HCA Healthcare, Inc.",71.83333333333333,66,523.0,66,98.0,66
PKG,Packaging Corporation of Americ,73.0,67,516.0,67,84.0,67
EQIX,"Equinix, Inc.",75.5,68,501.0,68,54.0,68
VRTX,Vertex Pharmaceuticals Incorpor,75.83333333333333,69,499.0,69,50.0,69
BKR,Baker Hughes Company,76.16666666666667,70,497.0,70,46.0,70
HLT,Hilton Worldwide Holdings Inc.,77.0,71,492.0,71,36.0,71
VTRS,Viatris Inc.,77.83333333333333,72,487.0,72,26.0,72
CAT,"Caterpillar, Inc.",79.66666666666667,73,476.0,73,4.0,73
ED,"Consolidated Edison, Inc.",79.83333333333333,74,475.0,74,2.0,74
HST,"Host Hotels & Resorts, Inc.",81.33333333333333,75,466.0,75,-16.0,75
BDX,"Becton, Dickinson and Company",82.5,76,459.0,76,-30.0,76
IR,Ingersoll Rand Inc.,83.0,77,456.0,77,-36.0,77
TDG,Transdigm Group Incorporated,83.5,78,453.0,78,-42.0,78
PWR,"Quanta Services, Inc.",84.0,79,450.0,79,-48.0,79
PHM,"PulteGroup, Inc.",84.5,80,447.0,80,-54.0,80
BEN,"Franklin Resources, Inc.",85.16666666666667,81,443.0,81,-62.0,81
PH,Parker-Hannifin Corporation,86.16666666666667,82,437.0,82,-74.0,82
FAST,Fastenal Company,87.0,83,432.0,83,-84.0,83
NTAP,"NetApp, Inc.",87.16666666666667,84,431.0,85,-86.0,85
PPL,PPL Corporation,87.16666666666667,85,431.0,84,-86.0,84
PNW,Pinnacle West Capital Corporati,87.66666666666667,86,428.0,86,-92.0,86
WTW,Willis Towers Watson Public Lim,88.16666666666667,87,425.0,87,-98.0,87
IP,International Paper Company,88.33333333333333,88,424.0,88,-100.0,88
PODD,Insulet Corporation,88.5,89,423.0,89,-102.0,89
VRSK,"Verisk Analytics, Inc.",88.83333333333333,90,421.0,90,-106.0,90
K,Kellanova,90.0,91,414.0,91,-120.0,91
SBUX,Starbucks Corporation,90.16666666666667,92,413.0,93,-122.0,93
LEN,Lennar Corporation,90.16666666666667,93,413.0,92,-122.0,92
OMC,Omnicom Group Inc.,90.16666666666667,94,413.0,94,-122.0,94
MTD,"Mettler-Toledo International, I",90.66666666666667,95,410.0,95,-128.0,95
EA,Electronic Arts Inc.,91.0,96,408.0,96,-132.0,96
SHW,Sherwin-Williams Company (The),91.0,97,408.0,97,-132.0,97
PAYX,"Paychex, Inc.",91.66666666666667,98,404.0,98,-140.0,98
INVH,Invitation Homes Inc.,92.83333333333333,99,397.0,99,-154.0,99
VLTO,Veralto Corp,93.5,100,393.0,100,-162.0,100
EMN,Eastman Chemical Company,93.83333333333333,101,391.0,101,-166.0,101
EQR,Equity Residential,94.33333333333333,102,388.0,102,-172.0,102
CSGP,"CoStar Group, Inc.",95.33333333333333,103,382.0,103,-184.0,103
FFIV,"F5, Inc.",97.66666666666667,104,368.0,104,-212.0,104
DLR,"Digital Realty Trust, Inc.",97.83333333333333,105,367.0,105,-214.0,105
UHS,"Universal Health Services, Inc.",98.33333333333333,106,364.0,106,-220.0,106
