Alternative,Company Name,Mean Rank Score,Rank (Mean Rank),Borda Count Score,Rank (Borda),Copeland Score,Rank (Copeland)
NVDA,NVIDIA Corporation,1.0,1,948.0,1,948.0,1
MSFT,Microsoft Corporation,2.3333333333333335,2,940.0,2,932.0,2
GOOG,Alphabet Inc.,3.1666666666666665,3,935.0,3,922.0,3
AMZN,"Amazon.com, Inc.",3.5,4,933.0,4,918.0,4
RTX,RTX Corporation,10.666666666666666,5,890.0,5,832.0,5
CMCSA,Comcast Corporation,18.166666666666668,6,845.0,6,742.0,6
MRK,"Merck & Company, Inc.",21.666666666666668,7,824.0,7,700.0,7
V,Visa Inc.,23.5,8,813.0,8,678.0,8
UBER,"Uber Technologies, Inc.",23.666666666666668,9,812.0,9,676.0,9
ORCL,Oracle Corporation,24.833333333333332,10,805.0,10,662.0,10
APH,Amphenol Corporation,26.166666666666668,11,797.0,12,646.0,12
CVX,Chevron Corporation,26.166666666666668,12,797.0,13,646.0,13
PM,Philip Morris International Inc,26.166666666666668,13,797.0,11,646.0,11
NDAQ,"Nasdaq, Inc.",27.666666666666668,14,788.0,14,628.0,14
META,"Meta Platforms, Inc.",28.5,15,783.0,15,618.0,15
O,Realty Income Corporation,28.5,16,783.0,16,618.0,16
TSLA,"Tesla, Inc.",30.833333333333332,17,769.0,17,590.0,17
WELL,Welltower Inc.,31.0,18,768.0,18,588.0,18
BSX,Boston Scientific Corporation,31.166666666666668,19,767.0,19,586.0,19
DIS,Walt Disney Company (The),32.5,20,759.0,20,570.0,20
CLX,Clorox Company (The),33.333333333333336,21,754.0,21,560.0,21
FCX,"Freeport-McMoRan, Inc.",33.666666666666664,22,752.0,22,556.0,22
T,AT&T Inc.,34.166666666666664,23,749.0,23,550.0,23
ABBV,AbbVie Inc.,35.333333333333336,24,742.0,24,536.0,24
PGR,Progressive Corporation (The),39.5,25,717.0,25,486.0,25
PEP,"Pepsico, Inc.",40.166666666666664,26,713.0,26,478.0,26
LRCX,Lam Research Corporation,41.0,27,708.0,27,468.0,27
ABT,Abbott Laboratories,41.166666666666664,28,707.0,28,466.0,28
CCL,Carnival Corporation,41.5,29,705.0,29,462.0,29
EQT,EQT Corporation,44.666666666666664,30,686.0,30,424.0,30
ICE,Intercontinental Exchange Inc.,45.0,31,684.0,31,420.0,31
CSCO,"Cisco Systems, Inc.",47.333333333333336,32,670.0,32,392.0,32
CME,CME Group Inc.,48.0,33,666.0,33,384.0,33
SO,Southern Company (The),49.333333333333336,34,658.0,34,368.0,34
TJX,"TJX Companies, Inc. (The)",51.333333333333336,35,646.0,35,344.0,35
MO,"Altria Group, Inc.",54.5,36,627.0,36,306.0,36
MCD,McDonald's Corporation,55.0,37,624.0,37,300.0,37
INCY,Incyte Corporation,56.333333333333336,38,616.0,38,284.0,38
HPE,Hewlett Packard Enterprise Comp,56.5,39,615.0,39,282.0,39
EIX,Edison International,58.833333333333336,40,601.0,40,254.0,40
NFLX,"Netflix, Inc.",59.166666666666664,41,599.0,41,250.0,41
EQIX,"Equinix, Inc.",59.666666666666664,42,596.0,42,244.0,42
PKG,Packaging Corporation of Americ,60.5,43,591.0,43,234.0,43
ANSS,"ANSYS, Inc.",62.0,44,582.0,44,216.0,44
CRM,"Salesforce, Inc.",63.166666666666664,45,575.0,45,202.0,45
KIM,Kimco Realty Corporation (HC),63.166666666666664,46,575.0,46,202.0,46
ISRG,"Intuitive Surgical, Inc.",63.5,47,573.0,47,198.0,47
HCA,"HCA Healthcare, Inc.",63.666666666666664,48,572.0,48,196.0,48
WMB,"Williams Companies, Inc. (The)",65.33333333333333,49,562.0,49,176.0,49
UPS,"United Parcel Service, Inc.",67.16666666666667,50,551.0,50,154.0,50
PHM,"PulteGroup, Inc.",67.5,51,549.0,51,150.0,51
TT,Trane Technologies plc,68.33333333333333,52,544.0,52,140.0,52
FOXA,Fox Corporation,70.16666666666667,53,533.0,53,118.0,53
STZ,"Constellation Brands, Inc.",70.16666666666667,54,533.0,54,118.0,54
LEN,Lennar Corporation,70.33333333333333,55,532.0,55,116.0,55
GLW,Corning Incorporated,70.5,56,531.0,56,114.0,56
FOX,Fox Corporation,70.83333333333333,57,529.0,57,110.0,57
PPG,"PPG Industries, Inc.",71.0,58,528.0,58,108.0,58
ED,"Consolidated Edison, Inc.",72.83333333333333,59,517.0,59,86.0,59
FTNT,"Fortinet, Inc.",73.66666666666667,60,512.0,60,76.0,60
DELL,Dell Technologies Inc.,73.83333333333333,61,511.0,61,74.0,61
VRTX,Vertex Pharmaceuticals Incorpor,74.16666666666667,62,509.0,62,70.0,62
BRO,"Brown & Brown, Inc.",74.66666666666667,63,506.0,63,64.0,63
ALL,Allstate Corporation (The),74.83333333333333,64,505.0,64,62.0,64
ANET,"Arista Networks, Inc.",76.0,65,498.0,65,48.0,65
BDX,"Becton, Dickinson and Company",76.16666666666667,66,497.0,66,46.0,66
BEN,"Franklin Resources, Inc.",76.5,67,495.0,67,42.0,67
MSI,"Motorola Solutions, Inc.",77.0,68,492.0,68,36.0,68
BKR,Baker Hughes Company,78.33333333333333,69,484.0,69,20.0,69
LH,Labcorp Holdings Inc.,79.33333333333333,70,478.0,70,8.0,70
HST,"Host Hotels & Resorts, Inc.",79.83333333333333,71,475.0,71,2.0,71
HIG,Hartford Financial Services Gro,80.16666666666667,72,473.0,72,-2.0,72
AJG,Arthur J. Gallagher & Co.,80.5,73,471.0,73,-6.0,73
CSGP,"CoStar Group, Inc.",80.83333333333333,74,469.0,74,-10.0,74
PEG,Public Service Enterprise Group,82.16666666666667,75,461.0,75,-26.0,75
CAT,"Caterpillar, Inc.",83.16666666666667,76,455.0,76,-38.0,76
SBUX,Starbucks Corporation,83.16666666666667,77,455.0,77,-38.0,77
TDG,Transdigm Group Incorporated,83.83333333333333,78,451.0,78,-46.0,78
EA,Electronic Arts Inc.,84.5,79,447.0,79,-54.0,79
AXON,"Axon Enterprise, Inc.",85.16666666666667,80,443.0,80,-62.0,80
DLR,"Digital Realty Trust, Inc.",86.0,81,438.0,81,-72.0,81
PNW,Pinnacle West Capital Corporati,86.66666666666667,82,434.0,82,-80.0,82
PWR,"Quanta Services, Inc.",88.66666666666667,83,422.0,83,-104.0,83
VRSK,"Verisk Analytics, Inc.",89.33333333333333,84,418.0,84,-112.0,84
INVH,Invitation Homes Inc.,89.5,85,417.0,85,-114.0,85
IRM,Iron Mountain Incorporated (Del,89.5,86,417.0,86,-114.0,86
BAX,Baxter International Inc.,89.66666666666667,87,416.0,87,-116.0,87
UHS,"Universal Health Services, Inc.",90.0,88,414.0,89,-120.0,89
PH,Parker-Hannifin Corporation,90.0,89,414.0,88,-120.0,88
PPL,PPL Corporation,90.33333333333333,90,412.0,90,-124.0,90
MTD,"Mettler-Toledo International, I",90.66666666666667,91,410.0,91,-128.0,91
PODD,Insulet Corporation,91.83333333333333,92,403.0,92,-142.0,92
FAST,Fastenal Company,92.0,93,402.0,93,-144.0,93
OMC,Omnicom Group Inc.,92.16666666666667,94,401.0,94,-146.0,94
SHW,Sherwin-Williams Company (The),92.66666666666667,95,398.0,95,-152.0,95
FDX,FedEx Corporation,92.83333333333333,96,397.0,96,-154.0,96
UAL,"United Airlines Holdings, Inc.",93.0,97,396.0,97,-156.0,97
HLT,Hilton Worldwide Holdings Inc.,93.5,98,393.0,98,-162.0,98
GIS,"General Mills, Inc.",93.66666666666667,99,392.0,99,-164.0,99
TSN,"Tyson Foods, Inc.",93.83333333333333,100,391.0,100,-166.0,100
GPN,Global Payments Inc.,94.33333333333333,101,388.0,101,-172.0,101
K,Kellanova,94.5,102,387.0,103,-174.0,103
EFX,"Equifax, Inc.",94.5,103,387.0,102,-174.0,102
IR,Ingersoll Rand Inc.,95.33333333333333,104,382.0,104,-184.0,104
ESS,"Essex Property Trust, Inc.",95.66666666666667,105,380.0,105,-188.0,105
PAYX,"Paychex, Inc.",96.83333333333333,106,373.0,106,-202.0,106
