Symbol,Shortname,TOPSIS,ARAS,VIKOR,COPRAS,WASPAS,TAXONOMY
ABBV,AbbVie Inc.,22,105,44,12,18,11
ABT,Abbott Laboratories,27,45,67,22,47,39
ADM,Archer-Daniels-Midland Company,89,80,154,121,154,155
AES,The AES Corporation,59,37,146,80,144,148
AJG,Arthur J. Gallagher & Co.,136,135,43,74,45,50
ALB,Albemarle Corporation,124,114,159,155,158,159
ALL,Allstate Corporation (The),122,125,38,65,50,49
ALLE,Allegion plc,82,74,103,116,112,112
AMZN,"Amazon.com, Inc.",4,2,4,3,4,4
ANET,"Arista Networks, Inc.",117,142,31,47,73,46
ANSS,"ANSYS, Inc.",118,127,13,71,21,22
AOS,A.O. Smith Corporation,76,64,145,138,151,151
APH,Amphenol Corporation,23,14,20,37,34,29
AXON,"Axon Enterprise, Inc.",158,157,11,156,13,16
BAX,Baxter International Inc.,47,29,117,90,129,126
BBY,"Best Buy Co., Inc.",96,84,140,120,140,141
BDX,"Becton, Dickinson and Company",113,113,66,51,57,57
BEN,"Franklin Resources, Inc.",38,33,70,100,111,107
BKR,Baker Hughes Company,41,39,110,56,114,110
BLDR,"Builders FirstSource, Inc.",128,118,150,145,139,144
BRO,"Brown & Brown, Inc.",60,56,71,84,89,88
BSX,Boston Scientific Corporation,26,26,28,28,43,36
BWA,BorgWarner Inc.,68,52,151,133,152,152
CAT,"Caterpillar, Inc.",152,152,105,30,27,33
CCL,Carnival Corporation,31,23,40,32,64,59
CE,Celanese Corporation,86,81,142,134,149,145
CLX,Clorox Company (The),25,16,21,52,42,44
CMCSA,Comcast Corporation,10,7,42,11,20,19
CME,CME Group Inc.,71,87,26,41,33,30
CRM,"Salesforce, Inc.",149,150,32,20,16,12
CSCO,"Cisco Systems, Inc.",14,17,128,14,58,53
CSGP,"CoStar Group, Inc.",67,63,61,101,98,95
CVX,Chevron Corporation,9,9,92,10,19,18
DE,Deere & Company,140,141,149,38,54,79
DELL,Dell Technologies Inc.,114,119,55,45,56,54
DG,Dollar General Corporation,93,89,112,112,118,117
DHI,"D.R. Horton, Inc.",101,96,139,67,120,124
DIS,Walt Disney Company (The),17,35,64,16,37,26
DLR,"Digital Realty Trust, Inc.",119,86,96,70,60,85
DOV,Dover Corporation,98,85,119,97,106,111
DPZ,Domino's Pizza Inc,132,129,86,113,55,76
DTE,DTE Energy Company,109,104,124,114,116,120
DXCM,"DexCom, Inc.",129,124,121,146,125,127
EA,Electronic Arts Inc.,80,77,90,77,90,93
ED,"Consolidated Edison, Inc.",53,46,94,58,94,92
EFX,"Equifax, Inc.",134,130,56,119,63,65
EIX,Edison International,45,48,57,54,79,70
