Symbol,Shortname,Revenuegrowth,Ebitda,Marketcap,Weight,Volatility,Average Close Price,Return,Average Volume,WASPAS Score (W),WSM Score (Q1),WPM Score (Q2),Rank
NVDA,NVIDIA Corporation,1.0,0.4518175821979716,1.0,1.0,0.1482818728351163,0.0980210031925723,0.3907387951756199,1.0,0.323555838703867,0.647111677407734,0.0,1
MSFT,Microsoft Corporation,0.3504273504273504,1.0,0.983980203876144,0.9839802038761444,0.3287955117193364,0.3370848949159112,0.3776609177110546,0.1062978726178163,0.28659298012817397,0.5731859602563479,0.0,2
GOOG,Alphabet Inc.,0.3449328449328449,0.9048492277211422,0.7122634667205335,0.7122634667205333,0.1639575141619785,0.1434864237879461,0.2211629083161464,0.0888534260860248,0.22412122612990176,0.4482424522598035,0.0,3
AMZN,"Amazon.com, Inc.",0.3199023199023199,0.818390239713908,0.7163374192279366,0.7163374192279361,0.1633010008708386,0.1690152122630297,0.2771566310233845,0.1826673309045196,0.22076647251431458,0.44153294502862916,0.0,4
META,"Meta Platforms, Inc.",0.3681318681318681,0.5829207917485197,0.4467075096546494,0.4467075096546491,0.4993323866756864,0.4560472132082749,0.4562687238128313,0.0706128345765843,0.18351277226267232,0.36702554452534464,0.0,5
TSLA,"Tesla, Inc.",0.3003663003663003,0.103130263153628,0.4084826098264515,0.408482609826452,0.6250238612945415,0.3248331665503919,0.3485513627423445,0.4361726517300195,0.1349035499364486,0.2698070998728972,0.0,6
NFLX,"Netflix, Inc.",0.3443223443223443,0.0793672899056767,0.1159259169414439,0.1159259169414442,0.659695506157845,0.710333215404729,0.3701982444606373,0.0132500423514372,0.10287653665691511,0.20575307331383022,0.0,7
TDG,Transdigm Group Incorporated,0.3626373626373626,0.0350802284505901,0.0196809241597175,0.0196809241597175,1.0,1.0,0.3697678358076559,0.0009938546513526,0.10111593428296338,0.20223186856592676,0.0,8
V,Visa Inc.,0.3241758241758242,0.1884401034356961,0.1847797498054964,0.1847797498054964,0.1631560846278193,0.2427375693768732,0.373243507445114,0.0318641878653606,0.09653212349768962,0.19306424699537925,0.0,9
EQIX,"Equinix, Inc.",0.3681318681318681,0.0311882772237182,0.025060104499765,0.0250601044997645,0.3607140293356783,0.725095165845672,0.3812759154002356,0.0016142123168975,0.08873833476514233,0.17747666953028465,0.0,10
MTD,"Mettler-Toledo International, I",0.2606837606837607,0.0151106790591736,0.0057717975038608,0.0057717975038605,0.9789013588602912,0.9645808138956656,0.3746592186257233,0.0,0.08566296778381957,0.17132593556763914,0.0,11
RTX,RTX Corporation,0.5531135531135531,0.0982352543263046,0.0449795476817764,0.0449795476817766,0.0416333997934982,0.0836916698822615,0.3704874210511839,0.024481519335717,0.08348473854188022,0.16696947708376045,0.0,12
AXON,"Axon Enterprise, Inc.",0.4462759462759463,0.0081338410340824,0.0125149922685241,0.0125149922685244,0.6203888274426314,0.4912573872343005,0.3620481067781157,0.0056856069352673,0.08087109374997904,0.16174218749995808,0.0,13
ORCL,Oracle Corporation,0.2948717948717949,0.1653833842096442,0.1420364860149593,0.1420364860149586,0.1133655398211484,0.1257218129956843,0.3697341113727982,0.0375938488195799,0.07966569585974033,0.15933139171948066,0.0,14
ISRG,"Intuitive Surgical, Inc.",0.3559218559218559,0.0250218286816418,0.0546257698157567,0.054625769815757,0.3161341727231045,0.4062672411054819,0.3698340850826404,0.0055023275636387,0.07535946058710331,0.15071892117420663,0.0,15
